,onset,duration,description,subjectID,trial,onset_s,blinks,condition,chorale
0,1970-01-01 00:00:00.000000,28.15625,Listening/chor-096,1,0,0.0,9,Listening,096
1,1970-01-01 00:00:28.171875,28.15625,Listening/chor-096,1,1,28.171875,4,Listening,096
2,1970-01-01 00:00:56.343750,28.15625,Listening/chor-038,1,2,56.34375,8,Listening,038
3,1970-01-01 00:01:24.515625,28.15625,Listening/chor-038,1,3,84.515625,6,Listening,038
4,1970-01-01 00:01:52.687500,28.15625,Listening/chor-101,1,4,112.6875,4,Listening,101
5,1970-01-01 00:02:20.859375,28.15625,Listening/chor-101,1,5,140.859375,5,Listening,101
6,1970-01-01 00:02:49.031250,28.15625,Listening/chor-101,1,6,169.03125,9,Listening,101
7,1970-01-01 00:03:17.203125,28.15625,Listening/chor-019,1,7,197.203125,3,Listening,019
8,1970-01-01 00:03:45.375000,28.15625,Imagery/chor-096,1,8,225.375,3,Imagery,096
9,1970-01-01 00:04:13.546875,28.15625,Imagery/chor-096,1,9,253.546875,4,Imagery,096
10,1970-01-01 00:04:41.718750,28.15625,Imagery/chor-096,1,10,281.71875,6,Imagery,096
11,1970-01-01 00:05:09.890625,28.15625,Listening/chor-096,1,11,309.890625,8,Listening,096
12,1970-01-01 00:05:38.062500,28.15625,Listening/chor-096,1,12,338.0625,5,Listening,096
13,1970-01-01 00:06:06.234375,28.15625,Listening/chor-038,1,13,366.234375,4,Listening,038
14,1970-01-01 00:06:34.406250,28.15625,Listening/chor-101,1,14,394.40625,6,Listening,101
15,1970-01-01 00:07:02.578125,28.15625,Listening/chor-019,1,15,422.578125,6,Listening,019
16,1970-01-01 00:07:30.750000,28.15625,Listening/chor-019,1,16,450.75,7,Listening,019
17,1970-01-01 00:07:58.921875,28.15625,Listening/chor-019,1,17,478.921875,5,Listening,019
18,1970-01-01 00:08:27.093750,28.15625,Imagery/chor-096,1,18,507.09375,6,Imagery,096
19,1970-01-01 00:08:55.265625,28.15625,Imagery/chor-038,1,19,535.265625,5,Imagery,038
20,1970-01-01 00:09:23.437500,28.15625,Imagery/chor-038,1,20,563.4375,13,Imagery,038
21,1970-01-01 00:09:51.609375,28.15625,Imagery/chor-101,1,21,591.609375,4,Imagery,101
22,1970-01-01 00:10:19.781250,28.15625,Listening/chor-096,1,22,619.78125,7,Listening,096
23,1970-01-01 00:10:47.953125,28.15625,Listening/chor-096,1,23,647.953125,5,Listening,096
24,1970-01-01 00:11:16.125000,28.15625,Listening/chor-038,1,24,676.125,10,Listening,038
25,1970-01-01 00:11:44.296875,28.15625,Listening/chor-101,1,25,704.296875,9,Listening,101
26,1970-01-01 00:12:12.468750,28.15625,Listening/chor-101,1,26,732.46875,10,Listening,101
27,1970-01-01 00:12:40.640625,28.15625,Listening/chor-019,1,27,760.640625,6,Listening,019
28,1970-01-01 00:13:08.812500,28.15625,Listening/chor-019,1,28,788.8125,3,Listening,019
29,1970-01-01 00:13:36.984375,28.15625,Listening/chor-019,1,29,816.984375,6,Listening,019
30,1970-01-01 00:14:05.156250,28.15625,Imagery/chor-101,1,30,845.15625,7,Imagery,101
